,0
0,8818429.933667796
1,9982315.564550072
2,7453777.476785956
3,7940687.363368925
4,9528301.007809991
5,9760971.947852237
6,6904552.6058596885
7,6983884.480129567
8,6121860.846988479
9,8249467.046564341
10,9636393.09455861
11,8550158.229658911
12,12125146.988484373
13,4383314.007573204
14,13578468.926067542
15,9064637.3667067
16,10189912.556639595
17,11073688.201310966
18,7510770.44842148
19,10723558.486635087
20,11262225.537769329
21,13420817.37950008
22,8728858.403259702
23,10312921.807401625
24,4840473.3451492665
25,11131882.585277604
26,12726493.60769398
27,11735236.824457752
28,11112532.865937525
29,8327149.487314831
30,9390818.617209705
31,10435246.901572945
32,9363317.49492613
33,22810658.424435534
34,7547081.739370409
35,11573285.453668592
36,10171276.435172122
37,7789290.416783822
38,11974692.318609986
39,10983705.614212198
40,8250224.8257268015
41,11060853.602298489
42,14015115.749186795
43,5204727.422332415
44,12104212.749929298
45,9518220.649532124
46,11579751.234659452
47,14277402.099938108
48,7321953.808385813
49,19681023.463533502
50,8245336.0786844315
51,6774053.912972863
52,5838210.834006336
53,12863677.602707015
54,9557939.279724922
55,7427635.097786404
56,11144013.572110925
57,11201187.874685628
58,13825778.081430646
59,10047910.060953176
60,9543382.78150017
61,6958752.6592064835
62,10323344.582119491
63,13315188.038497519
64,9305152.249304643
65,15972876.475511828
66,12605723.894830318
67,14847873.16977014
68,11224582.724067545
69,14889498.010085061
70,15593691.929330416
71,8570383.561816752
72,15081369.327015677
73,8693446.336127266
74,13016741.084271664
75,14867790.24581822
76,16054598.280367892
77,14201495.18453831
78,15086143.237347651
79,9917690.24427239
80,13026253.045298127
81,12970461.501033004
82,13851826.827438084
83,8389155.189012982
84,13494952.32207423
85,16176657.465750467
86,9745100.08971724
87,7315320.227738625
88,10002913.71620765
89,12785315.150951348
90,13820712.235544136
91,8516638.537823
92,16596620.504169092
93,12965993.043300686
94,7567103.226513144
95,23947927.696484968
96,16812852.406445384
97,9415728.55777374
98,13810667.208683921
99,11211813.672939923
100,12587163.56404706
101,13401103.559277011
102,10482786.294181447
103,20249402.420095462
104,14745936.1477117
105,14519387.270578083
106,18337289.31055684
107,15234107.70085666
108,16523472.430446392
109,16664306.60348158
110,21768166.58179741
111,11104579.233436
112,24936049.389013987
113,9732527.505393859
114,13803212.825095007
115,8200415.041699626
116,13882326.515048537
117,14885892.823211387
118,13586027.862544408
119,15749639.581990624
120,19330144.32140049
121,11569436.243748324
122,17861670.72733095
123,21232279.95841606
124,14141389.656006835
125,15795548.93357647
126,24350242.86391104
127,14867324.71261241
128,18781734.265828393
129,28503909.811233897
130,14849497.867696177
131,17157661.7264909
132,38005991.836708784
133,15278127.095886376
134,18368364.696888976
135,20390165.12248541
136,8714644.756891482
137,17883215.643408604
138,14998823.803674582
139,16104006.1407268
140,36905955.37076381
141,30472794.945686147
142,31379415.488880455
143,16392322.3020328
144,30737052.494760573
145,21488249.272711772
146,14962370.17172614
147,23290503.19779226
148,39542852.30724182
149,18272283.715108693
150,30101030.80682211
151,18170165.916439444
152,28475268.00716962
153,25729770.57623073
154,20357209.444224708
155,36340292.514567986
156,20823804.486500997
157,24538352.085793212
158,27456509.26387457
159,28539039.93922151
160,13820337.028739737
161,22546713.53230557
162,31360948.056079205
163,22184326.179357942
164,34662839.32838895
165,27148224.535012037
166,31149917.93167517
167,22775155.32007285
168,28017689.11393756
169,46567496.80370426
170,13586970.940955361
171,27919975.66325905
172,51706640.78102554
173,44655056.50897545
174,33514134.985769175
175,42424365.25240919
176,13354359.51041114
177,19402684.839638665
178,23287085.81200991
179,42508748.24125931
180,56440498.65962689
181,41600873.16640195
182,19150694.29846377
183,14056055.884937355
184,36329041.06575385
185,36700991.64818524
186,32483440.42504383
187,27842915.41100253
188,31525090.735583827
189,57620029.04230345
190,53926531.212640695
191,31336531.861073155
192,29254402.248054653
193,36043862.74288631
194,23008042.535131276
195,39400145.19863122
196,20569330.05359173
197,26165588.050906904
198,42299827.22815865
199,20275241.4422448
200,32259397.235260855
201,69498742.39195737
202,48575366.66973806
203,41110858.61097436
204,59395272.68540863
205,35977792.14637088
206,34386138.0712457
207,48252634.93277572
208,40756521.308271974
209,69788076.41490643
210,36537968.66300221
211,24165137.595524486
212,119013759.71723288
213,85968234.20751102
214,23648294.752453856
215,539843552.5633669
216,71525891.98765588
217,120536491.72507273
218,47795521.30669794
219,39366057.81139844
220,79618843.70381112
221,82674586.51978397
222,28320165.94496911
223,32727740.56950641
224,62311753.34212862
225,77175531.06233402
226,54171725.01309126
227,83466256.00274782
228,61806022.650095105
229,134619981.71230647
230,48951364.223163396
231,47860739.56888665
232,54882139.268051885
233,60986341.592525184
234,45781780.820008576
235,168768980.83616212
236,284984486.8850655
237,73679317.61339742
238,132002395.75136557
239,252151277.33698556
240,117541954.06756653
241,121008862.71997832
242,58656853.79587975
243,1012198551.8149664
244,56582814.4116231
245,232473358.73219642
246,158205962.52974826
247,101031095.21377745
248,769999997.0845373
249,125134846.9400273
250,54942737.06922436
251,1538581425.9112437
252,1096788401.3467357
253,83899799.11977232
254,36119715.39641873
255,90818052.40920459
256,944321142.293075
257,72114406.32666479
258,118590471.41032091
259,1353488098.4894054
260,728210374.6037681
261,112194736.85912235
262,1209128963.8342648
263,258896829.0240303
264,182095675.8144415
265,548316789.6509581
266,433835597.74060637
267,348631481.64754075
268,639759066.4380672
269,102433537.44149654
270,3766877474.3933535
271,1371624641.4655364
272,613077097.9511397
273,2614856174.410164
274,225036128.5519951
275,155028418.70175216
276,3858598563.173181
